Command,Description
coredumpctl,retrieve process saved core dumps metadata
coresched,manage core scheduling cookies tasks
coreutils,single binary coreutils programs
cp,copy files directories
cp,copy files
cpp,c preprocessor
crash,analyze linux crash dump data live system
cron,daemon execute scheduled commands
crond,daemon execute scheduled commands
cronnext,time next job cron execute
crontab,maintains crontab files individual users
crontab,schedule periodic background work
cryptsetup-benchmark,benchmarks ciphers kdf
cryptsetup-bitlkDump,dump header information bitlk bitlocker compatible device
cryptsetup-bitlkdump,dump header information bitlk bitlocker compatible device
cryptsetup-bitlkOpen,open encrypted device create mapping specified name
cryptsetup-bitlkopen,open encrypted device create mapping specified name
cryptsetup-close,removes existing mapping name associated key
cryptsetup-config,set permanent configuration options store luks header
cryptsetup-convert,converts device luks1 luks2 format
cryptsetup-create,open encrypted device create mapping specified name
cryptsetup-erase,erase keyslots
cryptsetup-fvault2Dump,dump header information fvault2 filevault2 compatible device
cryptsetup-fvault2dump,dump header information fvault2 filevault2 compatible device
cryptsetup-fvault2Open,open encrypted device create mapping specified name
cryptsetup-fvault2open,open encrypted device create mapping specified name
cryptsetup-isLuks,check device luks device
cryptsetup-isluks,check device luks device
cryptsetup-loopaesOpen,open encrypted device create mapping specified name
cryptsetup-loopaesopen,open encrypted device create mapping specified name
cryptsetup-luksAddKey,add new passphrase
cryptsetup-luksaddkey,add new passphrase
cryptsetup-luksChangeKey,change existing passphrase
cryptsetup-lukschangekey,change existing passphrase
cryptsetup-luksConvertKey,converts existing luks2 keyslot new pbkdf parameters
cryptsetup-luksconvertkey,converts existing luks2 keyslot new pbkdf parameters
cryptsetup-luksDump,dump header information luks device
cryptsetup-luksdump,dump header information luks device
cryptsetup-luksErase,erase keyslots
cryptsetup-lukserase,erase keyslots
cryptsetup-luksFormat,initialize luks partition set initial passphrase
cryptsetup-luksformat,initialize luks partition set initial passphrase
cryptsetup-luksHeaderBackup,store binary backup luks header keyslot area
cryptsetup-luksheaderbackup,store binary backup luks header keyslot area
cryptsetup-luksHeaderRestore,restore binary backup luks header keyslot area
cryptsetup-luksheaderrestore,restore binary backup luks header keyslot area
cryptsetup-luksKillSlot,wipe keyslot luks device
cryptsetup-lukskillslot,wipe keyslot luks device
cryptsetup-luksOpen,open encrypted device create mapping specified name
cryptsetup-luksopen,open encrypted device create mapping specified name
cryptsetup-luksRemoveKey,remove supplied passphrase luks device
cryptsetup-luksremovekey,remove supplied passphrase luks device
cryptsetup-luksResume,resume suspended device reinstate key
cryptsetup-luksresume,resume suspended device reinstate key
cryptsetup-luksSuspend,suspends active device wipes key
cryptsetup-lukssuspend,suspends active device wipes key
cryptsetup-luksUUID,print set uuid luks device
cryptsetup-luksuuid,print set uuid luks device
cryptsetup-open,open encrypted device create mapping specified name
cryptsetup-plainOpen,open encrypted device create mapping specified name
cryptsetup-plainopen,open encrypted device create mapping specified name
cryptsetup-reencrypt,reencrypt luks encrypted volumes inplace
cryptsetup-refresh,refresh parameters active mapping
cryptsetup-repair,repair device metadata
cryptsetup-resize,resize active mapping
cryptsetup-ssh,manage luks2 ssh token
cryptsetup-status,report status mapping
cryptsetup-tcryptDump,dump header information tcrypt truecrypt veracrypt compatible device
cryptsetup-tcryptdump,dump header information tcrypt truecrypt veracrypt compatible device
cryptsetup-tcryptOpen,open encrypted device create mapping specified name
cryptsetup-tcryptopen,open encrypted device create mapping specified name
cryptsetup-token,manage luks2 tokens
cryptsetup,manage plain dmcrypt luks encrypted volumes
csplit,split file sections determined context lines
csplit,split files based context
csum,checksum update action
ct,tc connection tracking action
ctags,create tags file development fortran
ctinfo,tc connmark processing action
ctrlaltdel,set function ctrlaltdel combination
ctstat,unified linux network statistics
cups-config,get cups api compiler directory link information deprecated
cups-lpd,receive print jobs report printer status lpd clients deprecated
cups-snmp,cups snmp backend deprecated
cups,standardsbased open source printing system
cupsaccept,acceptreject jobs sent destination
cupsctl,configure cupsdconf options
cupsd-helper,cupsd helper programs deprecated
cupsd,cups scheduler
cupsdisable,stopstart printers classes
cupsenable,stopstart printers classes
cupsfilter,convert file another format using cups filters deprecated
cupstestppd,test conformance ppd files deprecated
curl-config,get information libcurl installation
curl,transfer url
curvetun,lightweight curve25519 ip46 tunnel
cut,remove sections line files
cut,cut selected fields line file
cvtsudoers,convert sudoers file formats
cxref,language program crossreference table development
danetool,gnutls dane tool
dash,command interpreter shell
date,print set system date time
date,write date time
dbpmda,debugger performance copilot pmdas
dbprobe,database response time availability information
dcb-app,show manipulate application priority table dcb data center bridging subsystem
dcb-apptrust,show configure perselector trust trust order application priority table dcb data center bridging subsystem
dcb-buffer,show manipulate port buffer settings dcb data center bridging subsystem
dcb-dcbx,show manipulate port dcbx data center bridging exchange
dcb-ets,show manipulate ets enhanced transmission selection settings dcb data center bridging subsystem
dcb-maxrate,show manipulate port maxrate settings dcb data center bridging subsystem
dcb-pfc,show manipulate pfc prioritybased flow control settings dcb data center bridging subsystem
dcb-rewr,show manipulate rewrite table dcb data center bridging subsystem
dcb,show manipulate dcb data center bridging settings
dd,convert copy file
dd,convert copy file
deallocvt,deallocate unused virtual consoles
debugfs,ext2ext3ext4 file system debugger
debuginfo-install,install debuginfo packages dependencies
delpart,tell kernel forget partition
delta,make delta change sccs file development
depmod,generate modulesdep map files
derb,disassemble resource bundle
devlink-dev,devlink device configuration
devlink-dpipe,devlink dataplane pipeline visualization
devlink-health,devlink health reporting recovery
devlink-lc,devlink line card configuration
devlink-monitor,state monitoring
devlink-port,devlink port configuration
devlink-rate,devlink rate management
devlink-region,devlink address region access
devlink-resource,devlink device resource configuration
devlink-sb,devlink shared buffer configuration
devlink-trap,devlink trap configuration
devlink,devlink tool
df,report file system space usage
df,report free disk space
dh,debhelper command sequencer
dh_assistant,tool supporting debhelper tools provide introspection
dh_auto_build,automatically builds package
dh_auto_clean,automatically cleans build
dh_auto_configure,automatically configure package prior building
dh_auto_install,automatically runs make install similar
dh_auto_test,automatically runs packages test suites
dh_bugfiles,install bug reporting customization files package build directories
dh_builddeb,build debian binary packages
dh_clean,clean package build directories
dh_compress,compress files fix symlinks package build directories
dh_dwz,optimize dwarf debug information elf binaries via dwz
