Command,Description
git-update-ref,update object name stored ref safely
git-update-server-info,update auxiliary info file help dumb servers
git-upload-archive,send archive back gitarchive
git-upload-pack,send objects packed back gitfetchpack
git-var,show git logical variable
git-verify-commit,check gpg signature commits
git-verify-pack,validate packed git archive files
git-verify-tag,check gpg signature tags
git-version,display version information git
git-web--browse,git helper script launch web browser
git-whatchanged,show logs differences commit introduces
git-worktree,manage multiple working trees
git-write-tree,create tree object current index
git,stupid content tracker
gitk,git repository browser
gitweb,git web interface web frontend git repositories
gnutls-cli-debug,gnutls debug client
gnutls-cli,gnutls client
gnutls-serv,gnutls server
gpasswd,administer etcgroup etcgshadow
gprof,display call graph profile data
grep,print lines match patterns
grep,search file pattern
groupadd,create new group
groupdel,delete group
groupmems,administer members users primary group
groupmod,modify group definition system
groups,print groups user
grpck,verify integrity group files
grpconv,convert shadow passwords groups
grpunconv,convert shadow passwords groups
gssd,rpcsec_gss daemon
gstack,print stack trace running program
guards,select list files guarded conditions
halt,power reboot halt machine
hardlink,link multiple copies file
hash,remember report utility locations
hdparm,getset sataide device parameters
head,output first part files
head,copy first part files
hexdump,display file contents hexadecimal decimal octal ascii
HFSC,hierarchical fair service curves control linux
hg-ssh,restricted ssh login shell mercurial
hg,mercurial source code management system
homectl,create remove change inspect home directories
hostid,print numeric identifier current host
hostname,show set systems host name
hostnamectl,control system hostname
HTB,hierarchy token bucket
htop,interactive process viewer
hugetop,report huge page information
hwclock,time clocks utility
i386,change reported architecture new program environment andor set personality flags
ibacm,address route resolution services infiniband
ib_acme,test configuration utility ib acm
ibsrpdm,discover srp targets infiniband fabric
ibv_asyncwatch,display asynchronous events
ibv_devices,list rdma devices
ibv_devinfo,query rdma devices
ibv_rc_pingpong,simple infiniband rc transport test
ibv_srq_pingpong,simple infiniband shared receive queue test
ibv_uc_pingpong,simple infiniband uc transport test
ibv_ud_pingpong,simple infiniband ud transport test
ibv_xsrq_pingpong,simple infiniband shared receive queue test
iconv,convert text one character encoding another
iconv,codeset conversion
iconvconfig,create iconv module configuration cache
icuexportdata,writes text files unicode properties data icu
icupkg,extract modify icu dat archive
id,print real effective user group ids
id,return user identity
idmapd,name mapper
ifconfig,configure network interface
IFE,encapsulatedecapsulate metadata
ifpps,toplike networking system statistics
ifstat,handy utility read network interface statistics
importctl,download import export disk images
indent,changes appearance c program inserting deleting whitespace
indomcachectl,manage instance domain cache files
init,systemd system service manager
innochecksum,offline innodb file checksum utility
inotifywait,wait changes files using inotify fanotify
inotifywatch,gather filesystem access statistics using inotify fanotify
insmod,simple program insert module linux kernel
install,copy files set attributes
integritysetup,manage dmintegrity block level integrity volumes
intro,introduction user commands
intro,introduction administration privileged commands
ionice,set get process io scheduling class priority
iostat,report central processing unit cpu statistics inputoutput statistics devices partitions
iostat2pcp,import iostat data create pcp archive
iotop,simple toplike io monitor
iowatcher,create visualizations blktrace results
ip-address,protocol address management
ip-addrlabel,protocol address label management
ip-fou,foooverudp receive port configuration
ip-gue,foooverudp receive port configuration
ip-ioam,ipv6 insitu oam ioam
ip-l2tp,l2tpv3 static unmanaged tunnel configuration
ip-link,network device configuration
ip-macsec,macsec device configuration
ip-maddress,multicast addresses management
ip-monitor,state monitoring
ip-mptcp,mptcp path manager configuration
ip-mroute,multicast routing cache management
ip-neighbour,neighbourarp tables management
ip-netconf,network configuration monitoring
ip-netns,process network namespace management
ip-nexthop,nexthop object management
ip-ntable,neighbour table configuration
ip-route,routing table management
ip-sr,ipv6 segment routing management
ip-stats,manage show interface statistics
ip-tcp_metrics,management tcp metrics
ip-token,tokenized interface identifier support
ip-tunnel,tunnel configuration
ip-vrf,run command vrf
ip-xfrm,transform configuration
ip,show manipulate routing network devices interfaces tunnels
ip6tables-apply,safer way update iptables remotely
ip6tables-restore,restore ip tables
ip6tables-save,dump iptables rules
ip6tables-translate,translation tool migrate iptables nftables
ip6tables,administration tool ipv4ipv6 packet filtering nat
ipcmk,make various ipc resources
ipcrm,remove certain ipc resources
ipcrm,remove xsi message queue semaphore set shared memory segment identifier
ipcs,show information ipc facilities
ipcs,report xsi interprocess communication facilities status
ipmaddr,adds changes deletes displays multicast addresses
ippeveprinter,ipp everywhere printer application cups
ippfind,find internet printing protocol printers
ipptool,perform internet printing protocol requests
iptables-apply,safer way update iptables remotely
iptables-extensions,list extensions standard iptables distribution
iptables-restore,restore ip tables
iptables-save,dump iptables rules
iptables-translate,translation tool migrate iptables nftables
iptables-xml,convert iptablessave format xml
iptables,administration tool ipv4ipv6 packet filtering nat
iptraf-ng,interactive colorful ip lan monitor
iptraf,interactive colorful ip lan monitor
iptunnel,creates changes deletes displays configured tunnels
irqtop,utility display kernel interrupt information
isosize,output length iso9660 filesystem
jailcheck,simple utility program test running sandboxes
jobs,display status jobs current session
join,join lines two files common field
join,relational database operator
journalctl,print log entries systemd journal
kbdinfo,read information keyboard state
kbd_mode,report set keyboard mode
kbdrate,reset keyboard repeat rate delay time
kernel-install,add remove kernel initrd images boot partition
kexec,directly boot new kernel
key.dns_resolver,upcall requestkey handle dns_resolver keys
keyctl,key management facility control
kill,terminate process
kill,terminate signal processes
killall,kill processes name
kmidiff,compare kmis linux kernel trees
kmod,program manage linux kernel modules
last,list logins system
lastb,list logins system
lastcomm,print information previously executed commands
lastlog,reports recent login users given user
lastlog2,displays date last login users specific one
ld-linux,dynamic linkerloader
ld-linux.so,dynamic linkerloader
ld,gnu linker
ld.so,dynamic linkerloader
ldapadd,ldap modify entry ldap add entry tools
ldapcompare,ldap compare tool
ldapdelete,ldap delete entry tool
ldapexop,issue ldap extended operations
ldapmodify,ldap modify entry ldap add entry tools
ldapmodrdn,ldap rename entry tool
ldappasswd,change password ldap entry
ldapsearch,ldap search tool
ldapurl,ldap url formatting tool
ldapvc,ldap verify credentials tool
ldapwhoami,ldap tool
ldattach,attach line discipline serial line
ldconfig,configure dynamic linker runtime bindings
ldd,print shared object dependencies
less,display contents file terminal
lessecho,expand metacharacters
lesskey,customize key bindings less
lex,generate programs lexical tasks development
lexgrog,parse header information man pages
libnss_myhostname.so.2,hostname resolution locally configured system hostname
libnss_mymachines.so.2,hostname resolution local container instances
libnss_resolve.so.2,hostname resolution via systemdresolvedservice
libnss_systemd.so.2,unix user group name resolution usergroup lookup via varlink
link,call link function create link file
link,call link function
linux32,change reported architecture new program environment andor set personality flags
linux64,change reported architecture new program environment andor set personality flags
lloadd,ldap load balancer daemon
ln,make links files
ln,link files
lnstat,unified linux network statistics
loadkeys,load keyboard translation tables
load_policy,load new selinux policy kernel
loadunimap,load kernel unicodetofont mapping table
locale,get localespecific information
locale,specific information
localectl,control system locale keyboard layout settings
localedef,compile locale definition files
localedef,define locale environment
locate,list files databases match pattern
logger,enter messages system log
logger,log messages
login,begin session system
loginctl,control systemd login manager
logname,print userâs login name
logname,return users login name
logoutd,enforce login time restrictions
logrotate,logrotate â rotates compresses mails system logs
logsave,save output command logfile
look,display lines beginning given string
losetup,set control loop devices
lp,print files
lp,send files printer
lpadmin,configure cups printers classes cups scheduler
lpc,line printer control program deprecated
lpinfo,show available devices drivers deprecated
lpmove,move job jobs new destination
lpoptions,display set peruser printer options defaults
lpq,show printer queue status
lpr,print files
lprm,cancel print jobs
lpstat,print cups status information
ls,list directory contents
ls,list directory contents
lsattr,list ext2ext3ext4 file attributes
lsblk,list block devices
lsclocks,display system clocks
lscpu,display information cpu architecture
lsfd,list file descriptors
lsinitrd,tool show contents initramfs image
lsipc,show information ipc facilities currently employed system
lsirq,utility display kernel interrupt information
lslocks,list local system locks
lslogins,display information known users system
lsmem,list ranges available memory online status
lsmod,show status modules linux kernel
lsns,list namespaces
lsof,list open files
lspci,list pci devices
lsusb,list usb devices
lsusb.py,list usb devices
ltrace,library call tracer
lttng-add-context,add context fields lttng channel
lttng-calibrate,quantify lttng overhead
lttng-crash,recover view lttng 2 trace buffers event crash
lttng-create,create lttng tracing session
lttng-destroy,destroy lttng tracing session
lttng-disable-channel,disable lttng channels
lttng-disable-event,disable lttng event rules
lttng-disable-rotation,unset tracing sessions rotation schedule
lttng-enable-channel,create enable lttng channels
lttng-enable-event,create enable lttng event rules
lttng-enable-rotation,set tracing sessions rotation schedule
lttng-gen-tp,generate lttngust tracepoint provider code
lttng-help,display help information lttng command
lttng-list,list lttng tracing sessions domains channels events
lttng-load,load lttng tracing session configurations
lttng-metadata,manage lttng tracing sessions metadata generation
lttng-regenerate,manage lttng tracing sessions data regeneration
lttng-relayd,lttng 2 relay daemon
lttng-rotate,archive tracing sessions current trace chunk
lttng-save,save lttng tracing session configurations
lttng-sessiond,lttng 2 tracing session daemon
lttng-set-session,set current lttng tracing session
lttng-snapshot,take lttng snapshots configure snapshot outputs
lttng-start,start lttng tracers
lttng-status,get current lttng tracing sessions status
lttng-stop,stop lttng tracers
lttng-track,add one entries lttng resource tracker
lttng-untrack,remove one entries lttng resource tracker
lttng-version,get version lttngtools
lttng-view,view traces lttng tracing session
lttng,lttng 2 tracer control commandline tool
lvchange,change attributes logical volumes
lvconvert,change logical volume layout
lvcreate,create logical volume
lvdisplay,display information logical volume
lvextend,add space logical volume
lvm-config,display manipulate configuration information
lvm-dumpconfig,display manipulate configuration information
lvm-fullreport,display full report
lvm-lvpoll,continue already initiated poll operation logical volume
lvm,lvm2 tools
lvmconfig,display manipulate configuration information
lvmdbusd,bus daemon
lvmdevices,manage devices file
lvmdiskscan,list devices may used physical volumes
lvmdump,create lvm2 information dumps diagnostic purposes
lvm_import_vdo,utility import vdo volumes new volume group
lvmlockctl,control lvmlockd
lvmlockd,lvm locking daemon
lvmpolld,lvm poll daemon
lvmsadc,lvm system activity data collector
lvmsar,lvm system activity reporter
lvpoll,continue already initiated poll operation logical volume
lvreduce,reduce size logical volume
lvremove,remove logical volumes system
lvrename,rename logical volume
lvresize,resize logical volume
lvs,display information logical volumes
lvscan,list logical volumes volume groups
lxc-attach,start process inside running container
lxc-autostart,startstopkill autostarted containers
lxc-cgroup,manage control group associated container
lxc-checkconfig,check current kernel lxc support
lxc-checkpoint,checkpoint container
lxc-config,query lxc system configuration
lxc-console,launch console specified container
lxc-copy,copy existing container
lxc-create,creates container
lxc-destroy,destroy container
lxc-device,manage devices running containers
lxc-execute,run application inside container
lxc-freeze,freeze containers processes
lxc-info,query information container
lxc-ls,list containers existing system
lxc-monitor,monitor container state
lxc-snapshot,snapshot existing container
lxc-start,run application inside container
lxc-stop,stop application running inside container
lxc-top,monitor container statistics
lxc-unfreeze,thaw containers processes
lxc-unshare,run task new set namespaces
lxc-update-config,update legacy pre lxc 21 configuration file
lxc-user-nic,manage nics another network namespace
lxc-usernsexec,run task root new user namespace
lxc-wait,wait specific container state
m4,macro processor
machinectl,control systemd machine manager
mail.lmtp,deliver mail lmtp
mail.maildir,store mail maildir
mail.mboxfile,deliver mail file mbox format
mail.mda,deliver mail program
mailq,control smtp daemon
mailx,process messages
make,gnu make utility maintain groups programs
make,maintain update regenerate groups programs development
makeconv,compile converter table
makemap,create database maps smtpd
man-recode,convert manual pages another encoding
man,interface system reference manuals
man,display system documentation
manconv,convert manual page one encoding another
mandb,create update manual page index caches
manpath,determine search path manual pages
mansect,print source code sections manual pages
mapscrn,load screen output mapping table
mariabackup,backup tool
mariadb-access,client checking access privileges mariadbaccess symlink mariadbaccess
mariadb-admin,client administering mariadb server mariadbadmin symlink mariadbadmin
mariadb-backup,backup tool
mariadb-binlog,utility processing binary log files mariadbbinlog symlink mariadbbinlog
mariadb-check,table maintenance program mariadbcheck symlink mariadbcheck
mariadb-client-test-embedded,test client api mariadbclienttest symlink mariadbclienttest
mariadb-client-test,test client api mariadbclienttest symlink mariadbclienttest
mariadb-conv,character set conversion utility mariadb
mariadb-convert-table-format,convert tables use given storage engine mariadbconverttableformat symlink mariadbconverttableformat
mariadb-dump,database backup program mariadbdump symlink mariadbdump
mariadb-dumpslow,summarize slow query log files mariadbdumpslow symlink mariadbdumpslow
mariadb-embedded,mariadb commandline tool mysql symlink mariadb
mariadb-find-rows,extract sql statements files mariadbfindrows symlink mariadbfindrows
mariadb-fix-extensions,normalize table file name extensions mariadbfixextensions symlink mariadbfixextensions
mariadb-hotcopy,database backup program mariadbhotcopy symlink mariadbhotcopy
mariadb-import,data import program mariadbimport symlink mariadbimport
mariadb-install-db,initialize mariadb data directory mariadbinstalldb symlink mariadbinstalldb
mariadb-plugin,configure mariadb server plugins mariadbplugin symlink mariadbplugin
mariadb-secure-installation,improve mariadb installation security mariadbsecureinstallation symlink mariadbsecureinstallation
mariadb-service-convert,generate mariadbservice file based current mariadb settings
mariadb-setpermission,interactively set permissions grant tables mariadbsetpermission symlink mariadbsetpermission
mariadb-show,display database table column information mariadbshow symlink mariadbshow
mariadb-slap,load emulation client mariadbslap symlink mariadbslap
mariadb-stress-test.pl,server stress test program
mariadb-test-embedded,program run test cases mariadbtest symlink mariadbtest
mariadb-test-run.pl,run mariadb test suite
mariadb-test,program run test cases mariadbtest symlink mariadbtest
mariadb-tzinfo-to-sql,load time zone tables mariadbtzinfotosql symlink mariadbtzinfotosql
mariadb-upgrade,check tables mariadb upgrade mariadbupgrade symlink mariadbupgrade
mariadb-waitpid,kill process wait termination mariadbwaitpid symlink mariadbwaitpid
mariadb,mariadb commandline tool mysql symlink mariadb
mariadb_config,get compile options compiling clients
mariadbd-multi,manage multiple mariadb servers mariadbdmulti symlink mariadbdmulti
mariadbd-safe-helper,helper script mysqld_safe_helper symlink mariadbdsafehelper
mariadbd-safe,mariadb server startup script mariadbdsafe symlink mariadbdsafe
mariadbd,mariadb server mariadbd symlink mariadbd
matchall,traffic control filter matches every packet
matchpathcon,get default selinux security context specified path file contexts configuration
mausezahn,fast versatile packet generator ciscocli
mbstream,serializedeserialize files xbstream format
mckey,rdma cm multicast setup simple data transfer test
mcookie,generate magic cookies xauth
mcs,multicategory system
mcstransd,mcs multiple category system daemon translates selinux mcsmls labels human readable form
md5sum,compute check md5 message digest
mdadm,manage md devices aka linux software raid
mdmon,monitor md external metadata arrays
memhog,allocates memory policy testing
memusage,profile memory usage program
memusagestat,generate graphic memory profiling data
mesg,display display messages users
mesg,permit deny messages
migratepages,migrate physical location processes pages
migspeed,test speed page migration
mii-tool,view manipulate mediaindependent interface status
minicom,friendly serial communication program
mirred,mirrorredirect action
mk-ca-bundle,convert mozillas certificate bundle pem format
mkaf,create performance copilot archive folio
mkdir,make directories
mkdir,make directories
mkdosfs,create msdos fat filesystem
mke2fs,create ext2ext3ext4 file system
mkfifo,make fifos named pipes
mkfifo,make fifo special files
mkfs,build linux filesystem
mkfs.bfs,make sco bfs filesystem
mkfs.btrfs,create btrfs filesystem
mkfs.cramfs,make compressed rom file system
mkfs.fat,create msdos fat filesystem
mkfs.minix,make minix filesystem
mkfs.msdos,create msdos fat filesystem
mkfs.udf,create udf filesystem
mkfs.vfat,create msdos fat filesystem
mkhomedir_helper,helper binary creates home directories
mklost+found,create lostfound directory mounted ext2ext3ext4 file system
mknod,make block character special files
mkswap,set linux swap area
mktemp,create temporary file directory
mkudffs,create udf filesystem
modinfo,show information linux kernel module
modprobe,add remove modules linux kernel
more,display contents file terminal
more,bypage basis
mount,mount filesystem
mount.ddi,dissect discoverable disk images ddis
mount.fuse3,configuration mount options fuse file systems
mount.nfs,mount network file system
mount.nfs4,mount network file system
mountd,nfs mount daemon
mountpoint,see directory file mountpoint
mountstats,displays various nfs client permount statistics
mpls,mpls manipulation module
mpstat,report processors related statistics
mpvis,visualize cpu utilizationperformance
MQPRIO,multiqueue priority qdisc offloaded hardware qos
mrtg2pcp,import mrtg data create pcp archive
msgattrib,attribute matching manipulation message catalog
msgcat,combines several message catalogs
msgcmp,compare message catalog template
msgcomm,match two message catalogs
msgconv,character set conversion message catalog
msgen,create english message catalog
msgexec,process translations message catalog
msgfilter,edit translations message catalog
msgfmt,compile message catalog binary format
msggrep,pattern matching message catalog
msginit,initialize message catalog
msgmerge,merge message catalog template
msgunfmt,uncompile message catalog binary format
msguniq,unify duplicate translations message catalog
ms_print,postprocessing tool massif
msql2mysql,convert msql programs use mariadb
mtrace,interpret malloc trace log
mv,move rename files
mv,move files
myisamchk,myisam tablemaintenance utility
myisam_ftdump,display fulltext index information
myisamlog,display myisam log file contents
myisampack,generate compressed readonly myisam tables
my_print_defaults,display options option files
my_safe_process,utility program encapsulates process creation monitoring bulletproof process cleanup
mysql-stress-test.pl,server stress test program
mysql-test-run.pl,run mariadb test suite
mysql.server,mariadb server startup script
mytop,display mariadb server performance info like top
namei,follow pathname terminal point found
nameif,name network interfaces based mac addresses
nat,stateless native address translation action
ncat,concatenate redirect sockets
ncurses6-config,helper script ncurses libraries
ndiff,utility compare results nmap scans
needs-restarting,report running processes updated
netcap,program see capabilities
netem,network emulator
netsniff-ng,packet sniffing beast
netstat,print network connections routing tables interface statistics masquerade connections multicast memberships
networkctl,query modify status network links
newaliases,rebuild mail aliases
newgidmap,set gid mapping user namespace
newgrp,log new group
newgrp,change new group
newhelp,generate performance metrics help database
newrole,run shell new selinux role
newuidmap,set uid mapping user namespace
newusers,update create new users batch
nfs4_editfacl,manipulate nfsv4 filedirectory access control lists
nfs4_getfacl,get nfsv4 filedirectory access control lists
nfs4_setfacl,manipulate nfsv4 filedirectory access control lists
nfsconf,query various nfs configuration settings
nfsd,nfs server process
nfsdcld,nfsv4 client tracking daemon
nfsdclddb,tool manipulating nfsdcld sqlite database
nfsdclnts,print various nfs client information knfsd server
nfsdcltrack,nfsv4 client tracking callout program
nfsidmap,nfs idmapper upcall program
nfsiostat,emulate iostat nfs mount points using procselfmountstats
nfsref,manage nfs referrals
nfsstat,list nfs statistics
nfsv4.exportd,nfsv4 server mount daemon
nfsvis,visualize performance nfs statistics
ngettext,translate message choose plural form
nice,run program modified scheduling priority
nice,invoke utility altered nice value
nisdomainname,show set systems host name
nitrocli,access nitrokey devices
nl,number lines files
nl,line numbering filter
nm,list symbols object files
nm,write name list object file development
nmap,network exploration tool security port scanner
nodename,show set systems host name
nohup,run command immune hangups output nontty
nohup,invoke utility immune hangups
nologin,politely refuse login
nping,network packet generation tool ping utility
nproc,print number processing units available
nscd,name service cache daemon
nsenter,run program different namespaces
nss-myhostname,hostname resolution locally configured system hostname
nss-mymachines,hostname resolution local container instances
nss-resolve,hostname resolution via systemdresolvedservice
nss-systemd,unix user group name resolution usergroup lookup via varlink
nstat,network statistics tools
numactl,control numa policy processes shared memory
numastat,show pernumanode memory statistics processes operating system
numfmt,convert numbers fromto humanreadable strings
objcopy,copy translate object files
objdump,display information object files
ocount,event counting tool linux
ocsptool,gnutls ocsp tool
od,dump files octal formats
od,dump files various formats
oomctl,analyze state stored systemdoomd
op-check-perfevents,checks kernel perf pmu support
opannotate,produce source assembly annotated profile data
oparchive,produce archive oprofile data offline analysis
open_init_pty,run program pseudo terminal
openvt,start program new virtual terminal vt
operf,performance profiler tool linux
opgprof,produce gprofformat profile data
ophelp,list oprofile events
opimport,converts sample database files
opjitconv,convert jit dump file elf
opreport,produce symbol binary image summaries
oprofile,statistical profiler linux systems capable profiling running code low overhead also included set postprofiling analysis tools well simple event counting tool
osvis,visualize highlevel system activity
ovn-appctl,utility configuring running ovn daemons
ovn-controller-vtep,open virtual network local controller vtep enabled physical switches
ovn-controller,open virtual network local controller
ovn-ctl,open virtual network northbound daemon lifecycle utility
ovn-debug,open virtual network debug tool
ovn-detrace,convert ovsappctl ofprototrace output combine ovn logical flow information
ovn-ic-nbctl,open virtual network interconnection northbound db management utility
ovn-ic-sbctl,open virtual network interconnection southbound db management utility
ovn-ic,open virtual network interconnection controller
ovn-nbctl,open virtual network northbound db management utility
ovn-northd,open virtual network central control daemon
ovn-sbctl,open virtual network southbound db management utility
ovn-sim,open virtual network simulator environment
ovn-trace,open virtual network logical network tracing utility
ovs-appctl,utility configuring running open vswitch daemons
ovs-bugtool,open vswitch bug reporting utility
ovs-ctl,ovs startup helper script
ovs-dpctl-top,top like behavior ovsdpctl dumpflows
ovs-dpctl,administer open vswitch datapaths
ovs-flowviz,utility visualizing openflow datapath flows
ovs-kmod-ctl,ovs startup helper script loading kernel modules
ovs-l3ping,check network deployment l3 tunneling problems
ovs-ofctl,administer openflow switches
ovs-parse-backtrace,parses ovsappctl backtrace output
ovs-pcap,print packets pcap file hex
ovs-pki,openflow public key infrastructure management utility
ovs-sim,open vswitch simulator environment
ovs-tcpdump,dump traffic open vswitch port using tcpdump
ovs-tcpundump,convert tcpdump xx output hex strings
ovs-test,check linux drivers performance vlan l3 tunneling problems
ovs-testcontroller,simple openflow controller testing
ovs-vlan-test,check linux drivers problems vlan traffic
ovs-vsctl,utility querying configuring ovsvswitchd
ovs-vswitchd,open vswitch daemon
ovsdb-client,commandline interface ovsdbserver1
ovsdb-idlc,open vswitch idl interface definition language compiler
ovsdb-server,open vswitch database server
ovsdb-tool,open vswitch database management utility
p11tool,gnutls pkcs 11 tool
package-cleanup,clean locally installed duplicate orphaned packages
PAM,pluggable authentication modules linux
pam,pluggable authentication modules linux
pam_access,pam module logdaemon style login access control
pam_cap,capabilities pam module
pam_debug,pam module debug pam stack
pam_deny,lockingout pam module
pam_echo,pam module printing text messages
pam_env,pam module setunset environment variables
pam_exec,pam module calls external command
pam_faildelay,change delay failure perapplication
pam_faillock,module counting authentication failures specified interval
pam_filter,pam filter module
pam_ftp,pam module anonymous access module
pam_group,pam module group access
pam_issue,pam module add issue file user prompt
pam_keyinit,kernel session keyring initialiser module
pam_lastlog,pam module display date last login perform inactive account lock
pam_lastlog2,pam module display date last login
pam_limits,pam module limit resources
pam_listfile,deny allow services based arbitrary file
pam_localuser,require users listed etcpasswd
pam_loginuid,record users login uid process attribute
pam_mail,inform available mail
pam_mkhomedir,pam module create users home directory
pam_motd,display motd file
pam_namespace,pam module configuring namespace session
pam_namespace_helper,helper binary creates home directories
pam_nologin,prevent nonroot users login
pam_permit,promiscuous module
pam_pwhistory,pam module remember last passwords
pam_rhosts,rhosts pam module
pam_rootok,gain root access
pam_securetty,limit root login special devices
pam_selinux,pam module set default security context
pam_selinux_check,login program test pam_selinuxso
pam_sepermit,pam module allowdeny login depending selinux enforcement state
pam_setquota,pam module set modify disk quotas session start
pam_shells,pam module check valid login shell
pam_stress,stresstesting pam module
pam_succeed_if,test account characteristics
pam_systemd,register user sessions systemd login manager
pam_systemd_home,authenticate users mount home directories via systemdhomedservice
pam_systemd_loadkey,read password kernel keyring set pam authtok
pam_time,pam module time control access
pam_timestamp,authenticate using cached successful authentication attempts
pam_timestamp_check,check see default timestamp valid
pam_tty_audit,enable disable tty auditing specified users
pam_umask,pam module set file mode creation mask
pam_unix,module traditional password authentication
pam_userdb,pam module authenticate db database
pam_usertype,check authenticated user system regular account
pam_warn,pam module logs pam items called
pam_wheel,permit root access members group wheel
pam_xauth,pam module forward xauth keys users
parted,partition manipulation program
partprobe,inform os partition table changes
partx,tell kernel presence numbering ondisk partitions
passwd,change user password
paste,merge lines files
paste,merge corresponding subsequent lines files
patch,apply diff file original
patch,apply changes files
pathchk,check whether file names valid portable
pathchk,check pathnames
pax,portable archive interchange
pcap-config,write libpcap compiler linker flags standard output
pcilmr,margin pcie links
pcp-atop,advanced system process monitor
pcp-atopsar,advanced system activity report pcpatop related
pcp-buddyinfo,report linux kernel buddy algorithm statistics
pcp-check,manage configuration optional pcp components
pcp-collectl,backwardcompatibility performance copilot pcp
pcp-dmcache,report logical storage device caches
pcp-dstat,versatile tool generating system resource statistics
pcp-free,report free used memory system
pcp-geolocate,discover collector system geographical labels
pcp-htop,interactive process viewer
pcp-iostat,report block io statistics
pcp-ipcs,provide information ipc facilities
pcp-kube-pods,list kubernetes pods scan running pcp services
pcp-lvmcache,report logical storage device caches
pcp-meminfo,report statistics system memory
pcp-mpstat,report cpu interrupt related statistics
pcp-netstat,report statistics different network protocols network interfaces
pcp-numastat,report numa memory allocation
pcp-pidstat,report statistics linux tasks
pcp-ps,report statistics linux process
pcp-python,run python script using preferred python variant
pcp-reboot-init,performance copilot helper script system reboot
pcp-shping,report shell service availability response
pcp-slabinfo,report statistics kernel slab allocator
pcp-ss,report socket statistics
pcp-summary,run command summarize installation
pcp-tapestat,report tape io statistics
pcp-uptime,tell long system running
pcp-verify,verify aspects pcp installation
pcp-vmstat,highlevel system performance overview
pcp-xsos,highlevel summary reports system
pcp-zoneinfo,report numa zone statistics
pcp,run command summarize installation
pcp2arrow,pcptoarrow metrics exporter
pcp2csv,performance metrics reporter
pcp2elasticsearch,pcptoelasticsearch metrics exporter
pcp2graphite,pcptographite metrics exporter
pcp2influxdb,pcptoinfluxdb metrics exporter
pcp2json,pcptojson metrics exporter
pcp2openmetrics,pcptoopenmetrics exporter
pcp2spark,pcptospark metrics exporter
pcp2template,pcptoxxx metrics exporter
pcp2xlsx,pcptoxlsx metrics exporter
pcp2xml,pcptoxml metrics exporter
pcp2XXX,pcptoxxx metrics exporter
pcp2zabbix,pcptozabbix metrics exporter
PCPCompat,backwardcompatibility performance copilot pcp
pcpcompat,backwardcompatibility performance copilot pcp
PCPIntro,introduction performance copilot pcp
pcpintro,introduction performance copilot pcp
pcre2-config,program return pcre2 configuration
pcre2grep,grep perlcompatible regular expressions
pcre2test,program testing perlcompatible regular expressions
pdfman,render manual page pdf
pedit,generic packet editor action
peekfd,peek file descriptors running processes
perf-amd-ibs,support amd instructionbased sampling ibs perf tool
perf-annotate,read perfdata created perf record display annotated code
perf-archive,create archive object files buildids found perfdata file
perf-arm-spe,support arm statistical profiling extension within perf tools
perf-bench,general framework benchmark suites
perf-buildid-cache,manage buildid cache
perf-buildid-list,list buildids perfdata file
perf-c2c,shared data c2chitm analyzer
perf-check,check features present perf
perf-config,get set variables configuration file
perf-daemon,run record sessions background
perf-data,data file related processing
perf-diff,read perfdata files display differential profile
perf-dlfilter,filter sample events using dynamically loaded shared object file
perf-evlist,list event names perfdata file
perf-ftrace,simple wrapper kernels ftrace functionality
perf-help,display help information perf
perf-inject,filter augment events stream additional information
perf-intel-pt,support intel processor trace within perf tools
perf-iostat,show io performance metrics
perf-kallsyms,searches running kernel symbols
perf-kmem,tool tracemeasure kernel memory properties
perf-kvm,tool tracemeasure kvm guest os
perf-kwork,tool tracemeasure kernel work properties latencies
perf-list,list symbolic event types
perf-lock,analyze lock events
perf-mem,profile memory accesses
perf-probe,define new dynamic tracepoints
perf-record,run command record profile perfdata
perf-report,read perfdata created perf record display profile
perf-sched,tool tracemeasure scheduler properties latencies
perf-script-perl,process trace data perl script
perf-script-python,process trace data python script
perf-script,read perfdata created perf record display trace output
perf-stat,run command gather performance counter statistics
perf-test,runs sanity tests
perf-timechart,tool visualize total system behavior workload
perf-top,system profiling tool
perf-trace,strace inspired tool
perf-version,display version perf binary
perf,performance analysis tools linux
perfalloc,notify pmdaperfevent1 disable hardware counter allocation
perror,explain error codes
pfifo,packet limited first first queue
pfifo_fast,threeband first first queue
pgrep,look signal wait processes based name attributes
pidof,find process id running program
pidstat,report statistics linux tasks
pidwait,look signal wait processes based name attributes
PIE,proportional integral controllerenhanced aqm algorithm
ping,send icmp echo_request network hosts
pinky,lightweight finger
pipesz,set examine pipe fifo buffer sizes
pivot_root,change root filesystem
pkgdata,package data use icu
pkgtorrent-service,service8 python wsgi web application generate bittorrent files binary files available web server
pkill,look signal wait processes based name attributes
pktsetup,set tear packet device associations
pldd,display dynamic shared objects linked process
plipconfig,fine tune plip device parameters
plog,starts shuts lists log ppp connections
pmafm,performance copilot archive folio manager
pmap,report memory map process
pmcd,performance metrics collector daemon
pmcd_wait,wait pmcd accept client connections
pmchart,strip chart tool performance copilot
pmclient,simple performance metrics client
pmclient_fg,simple performance metrics client
pmconfig,performance copilot configuration parameters
pmconfirm,general purpose dialog box
pmcpp,simple preprocessor performance copilot
pmdaactivemq,activemq performance metrics domain agent pmda
